key|collectedFrom
3331244303|
3331244303|
3331244303|
3331244303|
3331244312|
3331244305|
3331244313|
3331244318|
3863915304|
3863915311|
3331244325|
3331244315|
3863915301|
3331244308|
3331244308|
3331244310|
3331244310|
3331244316|
3331244319|
3331244321|
3331244321|
3331244311|
3331244317|collected on Hibiscus tiliaceus leaves
3331244322|psyllid infestations noted on same tree (Hibiscus tiliaceus)
3331244309|
3331244309|
3863915306|
3863915308|
3331244320|swept from morning-glory vines
3331244320|swept from morning-glory vines
3863915309|from the leaves of Heritiera littoralis, a tree growing near the shore along the road
3863915305|from the leaves of Heritiera littoralis, a tree growing near the shore along the road
3331244302|reared from Calophyllum inophyllum leaves
3331244307|on beach, on Calophyllum inophyllum
3331241319|ex Hibiscus tiliaceus (pago)
3331241321|
3331241303|from Cycas
3331241310|
3878849315|miscellaneous sweeping
3878849324|
3878849311|
3878849303|
3331241328|swept from unknown tree
3878849326|
3878849309|swept from bamboo
3331241329|
3331241315|
3331241314|
3878849322|
3878849310|
3878849306|on bamboo leaves
3331241305|from Pithecolobium
3879202301|from Thespesia populnea
3879202302|from Calophyllum inophyllum
3331241311|on Psychotria
3331241336|
3878849307|on Cycas
3878849321|on Piper guahamense
3331241331|on sword grass
3331241335|
3331241337|under bark
3331241318|
3878849314|
3878849301|
3878849305|in rotten trunk of Areca palm
3878849317|in rotten Pandanus trunk
3878849302|
3878849308|in rotten stump
3878849312|from pigeon pea
3878849320|from corn
3878849323|from Ipomoea pes-caprae
3878849319|
3878849325|on sedges
3331241302|among dried leaves on fallen tree
3331241304|on weeds
3331241320|pumpkin leaves having mildew
3331241341|
3878849316|
3878849313|among dead leaves
3878849304|
3878849318|on rice
3331241309|on sugar cane
3331241332|from weeds
3331241317|on Sida
3331241322|from Ochrosia and Piper guahamense
3331241307|on Cycas
3331241313|from Hibiscus tiliaceus (pago)
3331241312|
3331241301|
3331241338|
3331241323|on Intsia bijuga
3879094302|
3879094301|
3331241340|
3865849301|on leaves of Ficus species and abundant in rolled and crumpled new leaves
3864798303|on rice
3864798305|in flowers of Leucaena glauca and Barringtonia racemosa
3864798307|in flowers of Leucaena glauca and Barringtonia racemosa
3357451310|on morning-glory leaves
3357451312|in flowers of Leucaena glauca
3357451306|in flowers of Barringtonia racemosa
3357451308|in flowers of Barringtonia racemosa
2562045202|
2562045194|Cestrum pallidum
3864798302|on leaves of Terminalia catappa
3864798312|on Pithecolobium dulce leaves
3864798304|on mango leaves
3864798306|on rose
3864798301|on Barringtonia racemosa
3357451302|on leaves of Barringtonia racemosa
3864798313|on dead twigs of Artocarpus communis
2562045200|under bark of Hibiscus tiliaceus along with Mesothrips swezeyi
2562045195|under bark of Hibiscus tiliaceus
3357451317|on Heliotropium indicunt
3357451320|on young coffee berries
3357451311|on young coffee berries
3865849302|leaves of Phyllanthus marianus
2562045201|on algae-covered bark
3357451309|on unidentified tree, in company with Ceroplastes floridensis
3864798308|on grass
3864798309|from unknown host plant
3357451319|on leaves of Elephantopus spicatus
3864798310|under bark of Hibiscus tiliaceus
3864798311|under bark of Heritiera littoralis
3357451315|under bark of Elaeocarpus joga
3866005301|dead specimen collected by a student on bark of Pithecolobium tree at Root Agricultural School
3866005349|at light
3866012301|
3866005316|
3331219306|
3866011301|
3866011302|
3866005341|
3866005322|
3866005325|
3866005319|
3866005328|
3866005339|
3331219335|
3331219312|
3331219334|
3331219307|
3331219315|
3331219308|
3331219316|
3331219328|
3866005306|
3866023301|
3866023302|
3866005331|
3866005313|
3866005324|
3866005303|
3331219327|
3331219331|
3331219318|
3866005344|
3866005318|
3866005311|
3866005315|at light
3333897302|
3333897301|
3866005335|
3866005337|
3866005320|
3866005348|
3866005314|
3333897306|
3333897307|
3333897305|
3866005321|
3866005347|
3331219317|
3331219332|
3866005309|
3866005346|
3866005317|
3866005342|
3866005330|
3866005336|
3866005327|
3331219333|
3866005305|
3866005332|
3866005307|
3866005323|swamp 3 miles south of Piti
3866005304|
3866005334|
3866005333|
3866005338|
3866005310|
3866005343|at light
3866005345|
3866005302|
3866005312|
3331441302|dead bamboo stub
3404211301|ex Pandanus log
3404211302|ex Pandanus log
3331441301|ex Hibiscus tiliaceus log
3331441304|ex log of fertile breadfruit
3331441305|ex log of fertile breadfruit
3333035315|swept from scale-infested bamboo
3333035301|reared from eggs of a katydid
3333035322|ex bean leafminer
3333035310|ex bean leafminer
3333035323|
3333035316|
3333035317|
3333035311|ex small fig
3333035303|ex larger fig
3333035313|ex Ficus mariannensis
3333035309|ex fruit of small-leaved fig
3333035304|
3333035304|
3333035312|
3333035318|ex figs of large-leaved Ficus
3333035307|
3333035308|ex sphingid egg on Caesalpinia
3333035308|from Piper guahamense
3333035308|reared from sphingid egg on Guettarda
3333035314|reared from puparium of a syrphid fly on corn leaf
3333035321|ex Ceresium larvae
3333035324|reared from a Chrysopa cocoon
3333899310|
3417668305|
3404214306|
3404214308|seaweed
3417668303|
3404214302|on corn
3404214309|on dead Areca palm leaves
3417668306|on cane
3333899318|
3404214304|
3404214307|
3417668304|
3417668308|
3404214305|
3404214303|
3404214301|
3404214310|
3333899307|ex Ochrosia fruits
3333899305|ex Ochrosia fruits
3333899309|ex Ochrosia fruits
3417668307|
3417668302|in field on fruits of Ximenia americana
|
3417668301|ex Cycas
3417668309|
3333899306|
3333899304|
3333899312|
3334693313|
3334693403|sifted from leaf mold on ground
3334693355|swept from lawn grass
3862685318|
3334693381|under stones
3862685373|
3862685355|in moss
3334693379|under bark
3862685378|
3862685400|
3862685302|
3334693386|
3862685323|
3862685372|in cane fields often nesting in rotten cane, often associated with mealybugs
3862685385|in the house
3862685374|the garden
3862685340|the lawn
3862685306|nesting under bark of Pithecolobium
3862685314|in dead branch of breadfruit and orange
3862685311|in rotten bamboo stumps
3862685354|on corn
3862685358|cacao
3862685375|pumpkin vines
3862685339|in one nest among bases of coconut leaf stems were the small yellow lepismids which are inhhabitants of ant nests
3351983302|
3862685377|
3862685407|in garden
3335007302|in rotten sugar cane
3862685326|
3862685396|on sugar-cane leaf
3862685402|
3334693304|
3334693398|
3334693371|in rotten log
3334693367|in rotten stump of Lumnitzera
3862685363|
3862685313|
3862685308|in garden
3862685336|in cane field
3862685350|in dead bamboo
3862685309|
3862685351|
3862685345|
3862685389|
3334693327|under bark or in rotten log
3334693341|
3334693325|
3334693382|
3334693404|
3862685305|
3862685383|
3334693365|
